"powiat","samochodyZielone","gęstość","ludnosc","przystanki","odsetek65","cenyMieszkan","parki","ogółem","rodzaj_powiat"
"Powiat lubiński",235.820780074643,145.3,103426,34.7108077272639,21.8,276118,8.31512385667047,11361.51,"ziemski"
"Powiat miński",152.671755725191,136.7,159034,65.1433026899908,17.1,360159,3.33262069746092,5785.24,"ziemski"
"Powiat zgierski",145.373100272012,194.7,166537,49.7787278502675,21,254781,1.74135477401418,6024.38,"ziemski"
"Powiat m. Sosnowiec",125.807440611488,2075.2,189178,8.08762118216706,25.2,239819,2.48443265073106,6126.6,"grodzki"
"Powiat m. Siedlce",305.727093609087,2373.6,75623,33.8521349324941,20.4,329363,4.09928196448171,6234.01,"grodzki"
"Powiat m. Nowy Sącz",286.398550634718,1399.1,80587,91.0816881134674,19.7,299618,1.61316341345378,5478.44,"grodzki"
"Powiat rzeszowski",130.316638540088,152.7,174805,72.9384170933326,15.7,307011,1.65899144761305,5684.1,"ziemski"
"Powiat żyrardowski",300.342111544276,141.6,75414,68.9527143501207,19.9,303792,5.70185907125998,6403,"ziemski"
"Powiat wodzisławski",142.920474019572,527,151133,21.7027386474165,19,182980,3.90384628109017,5478.76,"ziemski"
"Powiat m. Gliwice",126.006443577764,1277.4,171023,24.5581003724645,22.3,317474,14.1501435479438,7469.7,"grodzki"
"Powiat toruński",187.381675692335,92.3,113565,59.7014925373134,14.1,230607,3.78637784528684,5441.72,"ziemski"
"Powiat ostrowiecki",209.454057308683,164.3,101311,93.277136737373,24.6,194525,3.3560028032494,5388.69,"ziemski"
"Powiat pabianicki",176.338462569982,242.4,119316,33.9434778235945,21.8,264971,1.59241007073653,5650.74,"ziemski"
"Powiat cieszyński",116.073106692714,240.4,175579,27.224212462766,19.5,321897,7.51798335791866,5838.18,"ziemski"
"Powiat bielski",119.093562314576,362.1,165836,36.9642297209291,17.9,304464,3.07532743192069,5875.7,"ziemski"
"Powiat wielicki",138.337416575146,346,142044,42.8740390301597,14.9,399342,7.60327785756526,6201.22,"ziemski"
"Powiat wadowicki",124.48132780083,244.4,157855,46.3716702036679,17.2,305864,4.11770295524374,5385.08,"ziemski"
"Powiat żywiecki",130.621859086316,143.7,149439,43.8305930848038,18,279996,3.01126212033003,6015.37,"ziemski"
"Powiat częstochowski",146.505162526797,86.7,132009,81.3580892211895,19.9,201181,2.19681991379376,5774.96,"ziemski"
"Powiat kraśnicki",212.577010601099,89.6,90085,76.4833213076539,22,219031,12.654714991397,5139.37,"ziemski"
"Powiat m. Słupsk",219.417588143345,2001.5,86365,28.3679731372663,23.8,285427,2.43154055462282,5904.49,"grodzki"
"Powiat radomski",123.543339373818,98.8,151202,45.8988637716432,16.5,196566,2.18251081334903,5412.43,"ziemski"
"Powiat pilski",141.621909876966,103.7,131265,39.3097931664953,19.4,266369,4.4947244124481,6004.37,"ziemski"
"Powiat oświęcimski",123.64035792745,367.6,149304,42.9325403204201,20.1,276205,4.95633070781761,5899.89,"ziemski"
"Powiat m. Zabrze",117.609213150614,1932.7,155430,23.6119153316606,20.3,220003,19.1726178987325,6511.57,"grodzki"
"Powiat myślenicki",139.186956723124,192.5,129538,45.3148882953265,15.2,410279,2.47031759020519,5603.51,"ziemski"
"Powiat zawierciański",159.699930835122,112.4,112774,55.5092485856669,23.1,184254,14.3650132122652,6438.58,"ziemski"
"Powiat sieradzki",160.1246105919,75.4,112350,56.5198041833556,20.1,251384,7.74365821094793,5626.08,"ziemski"
"Powiat tarnogórski",128.50072905668,216.1,139221,32.5381946689077,19.7,275566,6.39271374289798,6218.12,"ziemski"
"Powiat m. Bytom",117.732791356902,2152.8,149576,19.8561266513344,20.6,178322,9.22607905011499,6303.49,"grodzki"
"Powiat m. Rybnik",133.136992956036,888.5,131744,27.9329608938547,19.5,254708,3.56752489676949,6135.4,"grodzki"
