powiat,samochodyZielone,gęstość,ludnosc,przystanki,odsetek65,cenyMieszkan,parki,ogółem,rodzaj powiat
Powiat limanowski,1531,138.3,131549,644,14.1,222746,27,"5,183.78",ziemski
Powiat radomszczański,1513,74.5,107575,782,21.2,246872,50,"5,333.33",ziemski
Powiat ostródzki,1506,56.5,99744,443,18.8,238923,102,"5,403.55",ziemski
Powiat nyski,1487,105.7,129353,753,21.6,212040,99,"5,717.73",ziemski
Powiat grójecki,1465,76.8,97395,535,19.5,271451,29,"6,247.81",ziemski
Powiat m. Ruda Śląska,1460,1694.1,131532,270,19.5,192578,96,"6,006.82",grodzki
Powiat bialski,1453,38.3,105530,681,18.4,205622,30,"5,288.19",ziemski
Powiat mielecki,1449,151.4,133320,607,18.3,296402,32,"5,845.43",ziemski
Powiat braniewski,1448,31.4,37851,213,18.6,155873,24,"5,368.32",ziemski
Powiat m. Włocławek,1448,1199.9,102102,301,24,274682,32,"5,892.16",grodzki
Powiat gliwicki,1406,170.3,113223,448,18.3,229369,122,"6,067.07",ziemski
Powiat lubliniecki,1405,91.4,75157,274,18.1,250157,125,"5,685.44",ziemski
Powiat m. Mysłowice,1405,1091,71643,229,18.6,244540,73,"5,754.97",grodzki
Powiat m. Leszno,1385,1903.4,60642,197,21.9,295361,43,"5,831.34",grodzki
Powiat lubartowski,1383,65.6,84578,699,19.3,285681,57,"5,250.01",ziemski
Powiat garwoliński,1370,82.2,105620,707,16.9,285065,49,"5,700.38",ziemski
Powiat słupski,1367,41.6,96231,657,17.2,247645,151,"5,628.96",ziemski
Powiat sławieński,1367,51.2,53384,312,19.6,398525,52,"5,260.40",ziemski
Powiat puławski,1359,115.6,107914,671,23,332868,67,"6,254.05",ziemski
Powiat olkuski,1358,172.8,106843,719,22.1,266839,34,"5,894.22",ziemski
Powiat kwidzyński,1352,96.6,80636,642,17,226159,99,"5,839.35",ziemski
Powiat policki,1324,127.8,84924,339,15.5,417507,98,"6,622.81",ziemski
